"Qty","Designators","LibReference","Description","Footprint","FootprintDescription","Sheets","ItemGUID","ItemRevisionGUID"
"1","R50","CMP-0026160-2","RES, 205 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402","0402","","4.Power","",""
"1","R48","CMP-0026300-2","RES, 340 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402","0402","","4.Power","",""
"1","R49","CMP-0026676-1","RES, 2.00 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0402","0402","","4.Power","",""
"4","R77, R78, R81, R83","CMP-0026765-1","RES, 10.0, 0.1%, 0.063 W, 0402","CPF0402","","2.Support","",""
"2","R69, R70","CMP-0026863-2","RES, 1.5 M, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","0402","","2.Support","",""
"6","R62, R63, R68, R71, R79, R80","CMP-0026890-5","RES, 2.2 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","0402","","2.Support","",""
"7","R3, R4, R5, R6, R7, R8, R59","CMP-0026916-3","RES, 39, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","0402","","1.GPIO, 2.Support","",""
"2","R176, R177","CMP-0026938-5","RES, 4.7 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","0402","","1.GPIO","",""
"2","R74, R75","CMP-0026949-3","RES, 56 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","0402","","2.Support","",""
"1","R55","CMP-0026950-3","RES, 56, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","0402","","4.Power","",""
"3","R47, R66, R67","CMP-0026962-3","RES, 680, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","0402","","4.Power, 2.Support","",""
"1","U4","CMP-0032596-2","Low Noise, Very Low Drift, Precision Series Voltage Reference, DGK0008A (VSSOP-8)","DGK0008A_N","","3.ADC","",""
"1","D2","CMP-004-00069-1","SURFACE MOUNT SILICON LOW VF SCHOTTKY DIODE 0.5 AMP","CFSH0520LTRPBFREE","","4.Power","A5AA3902-E615-403F-9DD8-DC4DBB10B7F2","63BE64CE-8635-4682-A32B-BE56D9AB992B"
"1","D1","CMP-004-00076-1","Diode, Schottky, 10 V, 1 A, AEC-Q101, POWERMITE","POWERMITE","","4.Power","88A70EC7-D21E-4C25-9BD7-71500C194B23","632AC858-FF25-4221-8185-4EE2B036B101"
"1","U2","CMP-0051789-2","Dual Buffer/Driver with Open-Drain Output, DBV0006A, LARGE T&R","DBV0006A_N","","2.Support","",""
