"Designator","Description","LibReference","Footprint","FootprintDescription","Sheet","SourceUniqueId","ItemGUID","ItemRevisionGUID","Layer"
"R173","Chip Resistor, 4,7 Ohms, +/-5 %, 125 mW, -55 to 155 degC, 0805","CMP-009-00174-4","RESC0805(2012)_L","Chip Resistor, Body 2.0x1.3mm, IPC High Density","8.Emulator_Interface","MHUGDJWD","1D1D6DEC-B4B3-4C08-92A1-95BD031BC35E","18B7447A-56DD-41DE-8C26-752869BA29F1","BOTTOM"
"R174","Chip Resistor, 4,7 Ohms, +/-5 %, 125 mW, -55 to 155 degC, 0805","CMP-009-00174-4","RESC0805(2012)_L","Chip Resistor, Body 2.0x1.3mm, IPC High Density","8.Emulator_Interface","FDAISQXL","1D1D6DEC-B4B3-4C08-92A1-95BD031BC35E","18B7447A-56DD-41DE-8C26-752869BA29F1","BOTTOM"
"R175","Chip Resistor, 4,7 Ohms, +/-5 %, 125 mW, -55 to 155 degC, 0805","CMP-009-00174-4","RESC0805(2012)_L","Chip Resistor, Body 2.0x1.3mm, IPC High Density","8.Emulator_Interface","QRNMNRFK","1D1D6DEC-B4B3-4C08-92A1-95BD031BC35E","18B7447A-56DD-41DE-8C26-752869BA29F1","BOTTOM"
"R176","RES, 4.7 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","CMP-0026938-5","0402","","1.GPIO","XRGWYYNF","","","TOP"
"R177","RES, 4.7 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","CMP-0026938-5","0402","","1.GPIO","NQPKDIYU","","","TOP"
"S1","Switch, Dual SPDT,  2 Pos, 0.1A, 6VDC, SMD","CMP-0002233-1","SW_CAS-D20TA","","3.ADC","ITILOASQ","","","TOP"
"S2","Switch, Dual SPDT,  2 Pos, 0.1A, 6VDC, SMD","CMP-0002233-1","SW_CAS-D20TA","","3.ADC","TRWOIJMV","","","TOP"
"S3","Switch, SPST-NO, Off-Mom, 12 V, SMD","CMP-0002193-2","SW_B3U-1100P","","2.Support","INCTRDFH","","","TOP"
"S4","Switch, SPST, 2 Pos, 25mA, 24VDC, SMD","CMP-0002230-1","SW_218-2LP","","2.Support","YMNSRJYZ","","","TOP"
"TP1","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","4.Power","DEJKIHZB","","","TOP"
"TP2","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","4.Power","JKXHKMID","","","TOP"
"TP3","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","4.Power","JOKFFLWL","","","TOP"
"TP4","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","4.Power","JAXTNXBZ","","","TOP"
"TP5","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","2.Support","UYLEYJBF","","","TOP"
"TP6","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","2.Support","CWCGOQUJ","","","TOP"
"TP7","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","2.Support","PZPJBWAU","","","TOP"
"TP8","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","2.Support","BYNEYTRE","","","TOP"
"TP9","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","2.Support","APDKCUHE","","","TOP"
"TP10","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","2.Support","HGTEFFZE","","","TOP"
"TP15","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","ZRNTCJPG","","","TOP"
"TP16","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","DLGKXXWR","","","TOP"
"TP17","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","HFXEQQMA","","","TOP"
"TP18","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","YAQNYFMB","","","TOP"
"TP19","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","MKPPJEFQ","","","TOP"
"TP20","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","THVRNOMH","","","TOP"
"TP21","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","NMAIMNIW","","","TOP"
"TP22","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","GNBQRLGI","","","TOP"
"TP23","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","KEPKAFQU","","","TOP"
"TP24","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","MKUHNDYQ","","","TOP"
"TP25","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","NHDTWZJB","","","TOP"
"TP26","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","JGQGZWQB","","","TOP"
"TP27","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","VXAZKJGU","","","TOP"
"TP28","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","OXCHKJRS","","","TOP"
"TP29","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","OFUPKJRO","","","TOP"
"TP30","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","JBURFONJ","","","TOP"
"TP31","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","HBBTEIOM","","","TOP"
"TP32","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","MUXDAMHG","","","TOP"
"TP33","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","NKFDYENO","","","TOP"
"TP34","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","LDFNMITR","","","TOP"
"TP35","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","BDIBUFIT","","","TOP"
"TP36","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","QTYSHXJP","","","TOP"
"TP37","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","RWSBTLJR","","","TOP"
"TP38","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","1.GPIO","TWXARMNA","","","TOP"
"TP39","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","9.Pwm_Buffer","ETEGQGBA","","","TOP"
"TP40","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","9.Pwm_Buffer","FROEUKKG","","","TOP"
"TP41","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","9.Pwm_Buffer","HMQKBRAE","","","TOP"
"TP42","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","9.Pwm_Buffer","YSHJUCGB","","","TOP"
"TP43","TEST POINT.  No entry in BOM.","CMP-0078143-3","TP_50MIL-25MILHOLE","","9.Pwm_Buffer","EWPJZOUF","","","TOP"
"U1","TMS320F28388DZWTS, ZWT0337A (NFBGA-337)","CMP-012-000147-1","ZWT0337A-IPC_B","for F28388DZWTS","3.ADC","LDEVTMZI","DF54DF59-B641-498F-BB01-2484DF0E0B85","F723C569-669A-411F-82AF-03D30780E2C8","TOP"
"U2","Dual Buffer/Driver with Open-Drain Output, DBV0006A, LARGE T&R","CMP-0051789-2","DBV0006A_N","","2.Support","HJOWHRRW","","","TOP"
"U3","High-Speed, Single-Supply, Rail-to-Rail Operational Amplifier MicroAmplifier(TM) Series, 2.7 to 5.5 V, -55 to 150 degC, 16-pin SOP (DBQ16), Green (RoHS & no Sb/Br)","CMP-014-00004-2","DBQ0016A_N","","3.ADC","OHNMUBQV","","","TOP"
"U4","Low Noise, Very Low Drift, Precision Series Voltage Reference, DGK0008A (VSSOP-8)","CMP-0032596-2","DGK0008A_N","","3.ADC","USMULGXK","","","TOP"
"U5","Low Jitter, 1:4 LVCMOS Fan-out Clock Buffer, PW0008A (TSSOP-8)","CMP-052-000006-1","PW0008A_N","","2.Support","TWJXROHF","FC129819-F756-4F2A-9164-3D470AA61679","62F079A3-04DD-46D0-9AFE-49794CEF462D","BOTTOM"
"U6","High-Accuracy, Fixed-Threshold OV/UV Monitor, DDC0006A (SOT-23-T-6)","CMP-052-000005-1","DDC0006A_N","","2.Support","JEFSDNMY","E583D6B3-15A4-4D0E-9F9F-01DEABF63F6F","DA58D82B-5B44-4BEF-9414-B77C3E88679A","TOP"
"U7","High-Accuracy, Fixed-Threshold OV/UV Monitor, DDC0006A (SOT-23-T-6)","CMP-052-000005-1","DDC0006A_N","","2.Support","AAJYVUIM","E583D6B3-15A4-4D0E-9F9F-01DEABF63F6F","DA58D82B-5B44-4BEF-9414-B77C3E88679A","TOP"
"U8","Dual, Adjustable, 600mA and 1000mA, 2.25MHz Step-Down Converter with 1-Wire Interface in QFN 10-VSON -40 to 85","CMP-014-000012-1","DRC0010J","for TPS62420DRCR","4.Power","GMUEPUWU","6DEB09E7-F20E-4A90-B764-515545040CDC","F467FBAA-B0EE-4F51-97AC-B2A9ABA1833C","TOP"
"U24","16-Bit Dual-Supply Bus Transceiver","CMP-031-00095-1","SOP50P810X120-48N","","9.Pwm_Buffer","FZOTAKLV","3C2B1A9C-8618-4807-B9D7-C00B05F7AC30","CDF5D8AE-E938-49B6-A00E-17151FA17120","TOP"
"U25","16-Bit Dual-Supply Bus Transceiver","CMP-031-00095-1","SOP50P810X120-48N","","9.Pwm_Buffer","VBAMHLKP","3C2B1A9C-8618-4807-B9D7-C00B05F7AC30","CDF5D8AE-E938-49B6-A00E-17151FA17120","TOP"
"U26","16-Bit Dual-Supply Bus Transceiver","CMP-031-00095-1","SOP50P810X120-48N","","9.Pwm_Buffer","KYAFWLAK","3C2B1A9C-8618-4807-B9D7-C00B05F7AC30","CDF5D8AE-E938-49B6-A00E-17151FA17120","TOP"
"U27","16-Bit Dual-Supply Bus Transceiver","CMP-031-00095-1","SOP50P810X120-48N","","9.Pwm_Buffer","UZCMSTKH","3C2B1A9C-8618-4807-B9D7-C00B05F7AC30","CDF5D8AE-E938-49B6-A00E-17151FA17120","TOP"
"U28","16-Bit Dual-Supply Bus Transceiver","CMP-031-00095-1","SOP50P810X120-48N","","9.Pwm_Buffer","XMJTEBZO","3C2B1A9C-8618-4807-B9D7-C00B05F7AC30","CDF5D8AE-E938-49B6-A00E-17151FA17120","TOP"
"Y1","Oscillator, 25 MHz, 15 pF, SMD","CMP-052-000000-1","ECS_ECS-2520S","","2.Support","ZFYBBWTG","B9F527EE-C7B7-4EB9-9926-576E100A5FB9","DBDE1BDD-B94E-4AAF-B62D-2E416037FEC0","BOTTOM"
