"Designator","Description","LibReference","Footprint","FootprintDescription","Sheet","SourceUniqueId","ItemGUID","ItemRevisionGUID","Layer"
"C49","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","PRQSMDOJ","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C50","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","XDTFPNVG","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C51","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","RNFHHYTR","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C52","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","BJHPCNQK","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C53","CAP, CERM, 2.2 uF, 10 V, +/- 10%, X5R, 0603","CMP-0006906-5","0603","","4.Power","VDUSHGPE","","","TOP"
"C54","CAP, CERM, 2.2 uF, 10 V, +/- 10%, X5R, 0603","CMP-0006906-5","0603","","4.Power","GTIDEGEJ","","","TOP"
"C55","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","XPQHKEUT","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C56","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","KEOVTGMO","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C57","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","MUKPPDGN","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","BOTTOM"
"C58","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","CMP-001-00001-6","CAPC1005X56X25LL10T15","Chip Capacitor, 2-Leads, Body 1.10x0.60mm, IPC High Density","4.Power","EFWVCBTQ","A0172775-ABE7-4C5C-9042-8FF38A8061E5","1F7CB819-4B2F-4DD9-A856-12543AC7F829","TOP"
